   q10           zsref10
100.200000       0.193000
201.500000       0.129000
301.200000       0.093000
401.400000       0.073000
501.900000       0.061000
604.200000       0.051000
601.800000       0.051000
706.000000       0.045000
804.900000       0.040000
910.000000       0.035000
1004.400000       0.032000
1275.300000       0.025000
1498.200000       0.022000
1605.500000       0.020000

