    q                Pres               HL               x           zsref              mt
50.000000       21462.900000       0.100000         0.000143        0.232170          0.000217
70.000000       21462.900000       0.100000         0.000211        0.226945          0.000269
80.000000       21462.900000       0.100000         0.000251        0.224085          0.000296
90.000000       21462.900000       0.100000         0.000282        0.222160          0.000316
100.000000       21462.900000       0.100000         0.000333        0.218915          0.000346
110.000000       21462.900000       0.100000         0.000371        0.216715          0.000368
120.000000       21462.900000       0.100000         0.000408        0.214735          0.000387
130.000000       21462.900000       0.100000         0.000426        0.213910          0.000397
140.000000       21462.900000       0.100000         0.000486        0.210940          0.000426
